topic,difficulty,question,option1,option2,option3,option4,answer,explanation
Integration,easy,"What is the value of the integral \(\int_{0}^{\pi} \sin 3x \cos 2x \,dx\)?",5/6,6/5,15/6,4/5,6/5,"Applying the product-to-sum identity \(\sin A\cos B = \frac{1}{2}[\sin(A+B)+\sin(A-B)]\) and integrating term‑by‑term over \([0,\pi]\) yields the result 6/5."
Integration,easy,"Select the correct result for \(\int_{0}^{\pi} \sin 4x \cos 4x \,dx\).",0,1,-1,1/2,0,"Using \(\sin 4x\cos 4x = \frac{1}{2}\sin 8x\) and noting that \(\int_{0}^{\pi}\sin 8x\,dx = 0\), the integral equals 0."
Integration,easy,"Compute \(\int_{0}^{\pi} \sin 8x \cos 5x \,dx\).",16/14,16/39,15/16,30/39,16/39,Rewrite the product as \(\frac{1}{2}[\sin 13x + \sin 3x]\); integrating each sine term from 0 to \(\pi\) gives the value 16/39.
Integration,easy,"Which of the following is the value of \(\int_{0}^{\pi} \sin 9x \cos 3x \,dx\)?",1,0,-1,1/2,0,"Using the identity, the integrand becomes \(\frac{1}{2}[\sin 12x + \sin 6x]\); both sine terms have zero net area over \([0,\pi]\), so the integral is 0."
Integration,easy,"Find the result of \(\int_{0}^{\pi} \sin 14x \cos 11x \,dx\).",28/75,48/15,18/19,25/28,28/75,Applying product‑to‑sum gives \(\frac{1}{2}[\sin 25x + \sin 3x]\); integrating yields the fraction 28/75.
Integration,easy,"The integral \(\int_{0}^{\pi} \sin 3x \cos 2x \,dx\) equals which of the following?",5/6,6/5,15/6,4/5,6/5,Using the product‑to‑sum formula and evaluating the resulting sine integrals over the interval gives 6/5.
Integration,easy,"What is the value of \(\int_{0}^{\pi} \sin 4x \cos 4x \,dx\)?",0,1,-1,1/2,0,"Since \(\sin 4x \cos 4x = \frac{1}{2}\sin 8x\) and the integral of \(\sin 8x\) over a full half‑period is zero, the result is 0."
Integration,easy,"Choose the correct evaluation of \(\int_{0}^{\pi} \sin 8x \cos 5x \,dx\).",16/14,16/39,15/16,30/39,16/39,Transforming the product to a sum of sines and integrating each term from 0 to \(\pi\) yields 16/39.
Integration,easy,"Select the correct value for \(\int_{0}^{\pi} \sin 14x \cos 11x \,dx\).",28/75,48/15,18/19,25/28,28/75,Applying the product‑to‑sum identity gives a sum of sines whose definite integrals produce the fraction 28/75.
Trigonometric Integration,hard,"Evaluate the integral \(\int_{0}^{\pi} \sin(5x)\cos(3x)\,dx\).",0,1/4,-1/4,1/2,0,"Using the product‑to‑sum identity \(\sin A\cos B = \frac{1}{2}[\sin(A+B)+\sin(A-B)]\), the integrand becomes \(\frac12[\sin8x+\sin2x]\). Both \(\sin8x\) and \(\sin2x\) have even multiples of \(x\), so their integrals over \([0,\pi]\) are zero. Hence the whole integral equals 0."
Trigonometric Integration,hard,"What is the value of \(\int_{0}^{\pi} \sin(12x)\cos(7x)\,dx\)?",24/95,12/95,24/190,1/4,24/95,"Apply \(\sin A\cos B = \frac12[\sin(A+B)+\sin(A-B)]\) to get \(\frac12[\sin19x+\sin5x]\). For odd k, \(\int_{0}^{\pi}\sin(kx)dx = \frac{2}{k}\). Thus the integral equals \(\frac12\left(\frac{2}{19}+\frac{2}{5}\right)=\frac{1}{19}+\frac{1}{5}=\frac{24}{95}\)."
Trigonometric Integration,hard,"Compute \(\int_{0}^{\pi} \sin(10x)\cos(10x)\,dx\).",0,1/20,-1/20,1/10,0,"Since \(\sin a\cos a = \frac12\sin2a\), the integral becomes \(\frac12\int_{0}^{\pi}\sin20x\,dx\). Because 20 is even, \(\int_{0}^{\pi}\sin20x\,dx = 0\). Hence the whole integral is 0."
Trigonometric Integration,hard,Which of the following integrals evaluates to \(\frac{28}{75}\)?,"\(\int_{0}^{\pi} \sin(14x)\cos(11x)\,dx\)","\(\int_{0}^{\pi} \sin(8x)\cos(5x)\,dx\)","\(\int_{0}^{\pi} \sin(9x)\cos(3x)\,dx\)","\(\int_{0}^{\pi} \sin(4x)\cos(4x)\,dx\)","\(\int_{0}^{\pi} \sin(14x)\cos(11x)\,dx\)","From the provided data, the integral \(\int_{0}^{\pi} \sin(14x)\cos(11x)dx\) has the correct answer \(28/75\). The other listed integrals evaluate to different values (0, 16/39, and 0 respectively)."
Trigonometric Integration,hard,"For which pair of integers \((m,n)\) with \(m>n\) does \(\int_{0}^{\pi} \sin(mx)\cos(nx)\,dx = 0\)?","(5,3)","(6,2)","(7,4)","(8,5)","(6,2)","The integral is zero when both \(m+n\) and \(m-n\) are even, i.e., when \(m\) and \(n\) have the same parity. Among the choices, only (6,2) are both even, so the integral vanishes."
Trigonometric Integration,hard,"Find the value of \(\int_{0}^{\pi} \sin(9x)\cos(6x)\,dx\).",2/5,1/5,3/5,4/5,2/5,"Using the identity, the integrand becomes \(\frac12[\sin15x+\sin3x]\). Both frequencies are odd, so the integral equals \(\frac12\left(\frac{2}{15}+\frac{2}{3}\right)=\frac{1}{15}+\frac{1}{3}=\frac{2}{5}\)."
Trigonometric Integration,hard,"Evaluate \(\int_{0}^{\pi} \sin(3x)\cos(7x)\,dx\).",0,1/7,-1/7,1/14,0,"Convert to \(\frac12[\sin10x-\sin4x]\). Both 10 and 4 are even, so each integral over \([0,\pi]\) is zero, giving a total of 0."
Trigonometric Identities,hard,Which of the following is the correct product‑to‑sum identity for \(\sin(ax)\cos(bx)\)?,\(\frac12[\sin((a+b)x)+\sin((a-b)x)]\),\(\frac12[\cos((a+b)x)+\cos((a-b)x)]\),\(\sin((a+b)x)\),\(\cos((a-b)x)\),\(\frac12[\sin((a+b)x)+\sin((a-b)x)]\),The standard product‑to‑sum formula is \(\sin A\cos B = \frac12[\sin(A+B)+\sin(A-B)]\).
Trigonometric Integration,hard,"Given that \(\int_{0}^{\pi} \sin(8x)\cos(5x)\,dx = \frac{16}{39}\), what is \(\int_{0}^{\pi} \sin(8x)\cos(3x)\,dx\)?",16/55,16/39,8/55,8/39,16/55,"Rewrite \(\sin8x\cos3x = \frac12[\sin11x+\sin5x]\). Both frequencies are odd, so the integral equals \(\frac12\left(\frac{2}{11}+\frac{2}{5}\right)=\frac{1}{11}+\frac{1}{5}=\frac{16}{55}\)."
Trigonometric Integration,hard,"Determine the value of \(\int_{0}^{\pi} \sin(4x)\cos(6x)\,dx\).",0,1/5,-1/5,1/10,0,"Using the identity, the integrand becomes \(\frac12[\sin10x-\sin2x]\). Both 10 and 2 are even, so each integral over \([0,\pi]\) is zero, yielding a total of 0."
